City_ID,City,Country,Date,Lat,Lng,Cloudiness,Humidity,Max Temperature,Wind Speed
337,avera,US,1528904100,33.19,-82.53,90,83,78.8,3.74
338,alizai,PK,1528905496,33.94,71.55,0,30,89.77,3.29
339,bela,PK,1528905496,26.23,66.31,36,29,93.37,10.33
340,kalas,PK,1528903800,33.49,72.96,0,25,98.6,4.97
341,gisborne,NZ,1528905498,-38.66,178.02,12,86,52.6,10.67
342,yuryevets,RU,1528905498,57.32,43.11,24,69,60.7,15.03
343,bundaberg,AU,1528905498,-24.87,152.35,88,100,64.66,12.01
344,griffith,AU,1528905499,-34.29,146.06,80,90,50.62,8.88
345,raudeberg,NO,1528903200,61.99,5.14,75,71,60.8,11.41
346,rio gallegos,AR,1528902000,-51.62,-69.22,20,86,33.8,5.82
347,antalaha,MG,1528905500,-14.9,50.28,88,85,75.01,14.14
348,houma,CN,1528905500,35.63,111.36,0,58,62.32,2.51
349,verkhoyansk,RU,1528905500,67.55,133.39,0,63,56.29,2.62
350,donskoye,RU,1528902000,45.45,41.98,0,30,80.6,6.71
351,mogadishu,SO,1528905402,2.04,45.34,64,100,78.25,22.08
352,lewistown,US,1528904100,40.39,-90.15,1,53,78.8,12.75
353,leningradskiy,RU,1528905501,69.38,178.42,0,88,33.79,21.74
354,airai,TL,1528905503,-8.93,125.41,76,93,68.98,1.72
355,nantucket,US,1528904100,41.28,-70.1,90,77,69.8,17.22
356,mount gambier,AU,1528905506,-37.83,140.78,92,81,49.72,6.87
357,katobu,ID,1528905506,-4.94,122.53,24,100,77.98,2.62
358,baiyin,CN,1528902000,36.55,104.13,0,31,60.8,4.47
359,jumla,NP,1528905507,29.28,82.18,88,95,37.75,2.51
360,voh,NC,1528905507,-20.95,164.69,8,100,71.59,14.81
361,kamaishi,JP,1528905507,39.28,141.86,0,78,53.95,12.8
362,jurm,AF,1528905508,36.86,70.83,56,100,40.09,1.61
363,la ronge,CA,1528902000,55.1,-105.3,75,76,53.6,8.05
364,paragominas,BR,1528905508,-3,-47.35,20,56,91.93,5.41
365,fairbanks,US,1528901880,64.84,-147.72,1,75,42.8,3.36
366,poum,MK,1528903800,41.28,20.71,40,47,78.8,8.05
367,boyle,IE,1528902000,53.97,-8.3,75,100,55.4,18.34
368,klaksvik,FO,1528903200,62.23,-6.59,92,93,48.2,19.46
369,aleksandro-nevskiy,RU,1528905510,53.48,40.21,0,49,74.2,9.78
370,graham,US,1528905240,36.07,-79.4,75,78,75.2,9.17
371,paraiso,MX,1528901040,24.01,-104.61,75,68,66.2,3.36
372,nishihara,JP,1528902000,35.74,139.53,75,68,69.8,3.36
373,charyshskoye,RU,1528905511,51.4,83.56,8,37,69.7,3.4
374,struer,DK,1528903200,56.48,8.6,8,63,60.8,17.22
375,hualmay,PE,1528905511,-11.1,-77.61,12,77,65.02,3.62
376,ystad,SE,1528903200,55.43,13.82,75,60,68,13.87
377,buin,CL,1528905600,-33.73,-70.74,0,65,46.4,3.36
